TimeStamp,Origin,Trip,Destination,ScheduledTime,Lateness,Track,Status
1468028476,"North Station","343","Lowell",1468028700,0,"8","Now Boarding"
1468028476,"North Station","127","Rockport",1468030800,0,,"On Time"
1468028476,"North Station","431","Fitchburg",1468032000,0,,"On Time"
1468028476,"North Station","181","Newburyport",1468032600,0,,"On Time"
1468028476,"North Station","345","Lowell",1468032900,0,,"On Time"
1468028476,"North Station","227","Haverhill",1468033200,0,,"On Time"
1468028476,"South Station","629","Needham Heights",1468029000,0,"7","Now Boarding"
1468028476,"South Station","835","Wickford Junction",1468029600,0,,"On Time"
1468028476,"South Station","787","Readville",1468029600,0,,"On Time"
1468028476,"South Station","093","Greenbush",1468029600,0,,"On Time"
1468028476,"South Station","029","Middleboro/ Lakeville",1468031400,0,,"On Time"
1468028476,"South Station","729","Forge Park / 495",1468031400,0,,"On Time"
1468028476,"South Station","537","Worcester / Union Station",1468031400,0,,"On Time"
1468028476,"South Station","057","Kingston",1468032000,0,,"On Time"
1468028476,"South Station","927","Stoughton",1468032000,0,,"On Time"
1468028476,"South Station","837","Providence",1468033200,0,,"On Time"
1468028476,"South Station","789","Readville",1468033200,0,,"On Time"
1468028476,"South Station","631","Needham Heights",1468034400,0,,"On Time"
1468028476,"South Station","539","Worcester / Union Station",1468035000,0,,"On Time"
1468028476,"South Station","731","Forge Park / 495",1468036200,0,,"On Time"
1468028476,"South Station","839","Providence",1468036740,0,,"On Time"
